City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Vaini,-21.2,-175.2,78.8,82.33,83,1015,10.29,20
Lakes Entrance,-37.88,147.98,67.96,63.32,47,1015,7.0,0
Bethel,41.37,-73.41,28.18,15.91,68,1006,12.75,90
Kapaa,22.08,-159.32,75.29,74.03,74,1018,12.75,40
Ushuaia,-54.8,-68.3,44.6,38.39,93,1006,8.05,75
Babati,-4.22,35.75,76.1,76.55,56,1016,4.52,0
Staraya Toropa,56.28,31.67,19.54,8.92,91,1037,9.57,0
Castro,-24.79,-50.01,61.07,62.06,97,1013,4.18,75
South Kazakhstan Region,43.0,68.0,24.1,16.88,81,1034,3.8,59
Tiznit Province,29.58,-9.5,49.44,46.62,70,1023,1.1,0
New Norfolk,-42.78,147.06,58.1,54.54,66,1008,5.01,100
Butaritari,3.07,172.79,82.08,86.34,77,1010,9.93,56
Lock Haven,41.14,-77.45,30.02,22.96,38,1009,1.99,96
Mataura,-46.19,168.86,59.0,50.16,73,1003,15.99,30
Mahébourg,-20.41,57.7,84.2,87.17,62,1015,8.05,40
Albany,42.6,-73.97,26.33,20.37,63,1004,1.01,90
Chaohu,31.6,117.87,44.6,37.78,70,1028,6.71,90
Puerto El Triunfo,13.28,-88.55,77.0,78.96,73,1013,8.05,0
Rikitea,-23.12,-134.97,76.19,76.23,80,1020,13.11,0
Dikson,73.51,80.55,-6.3,-16.31,92,1017,6.06,6
Mount Gambier,-37.83,140.77,60.8,50.88,59,1020,16.11,90
Hong Kong,22.29,114.16,67.69,68.43,62,1018,1.01,22
Ribeira Grande,38.52,-28.7,60.04,52.41,71,1030,14.0,86
Avarua,-21.21,-159.78,78.8,84.49,78,1015,4.7,2
Busselton,-33.65,115.33,93.09,82.71,9,1004,10.67,0
Presidencia Roque Sáenz Peña,-26.79,-60.44,66.99,68.99,73,1010,1.01,0
Lavrentiya,65.58,-171.0,15.24,3.92,90,1005,10.18,0
Arraial do Cabo,-22.97,-42.03,74.32,73.15,92,1010,17.31,100
Beringovskiy,63.05,179.32,13.3,5.34,92,1009,4.03,5
Spitsevka,45.12,42.51,21.2,2.28,92,1025,24.61,90
Qaqortoq,60.72,-46.03,23.29,11.52,85,1009,11.92,93
Grindavik,63.84,-22.43,35.6,31.96,100,1011,1.12,75
Lashio,22.93,97.75,75.67,74.37,44,1015,3.53,50
Hithadhoo,-0.6,73.08,82.18,85.51,78,1011,12.08,65
Zitlala,17.63,-99.08,55.04,55.29,95,1017,1.57,3
Barrow,71.29,-156.79,1.4,-9.6,77,1007,8.05,90
Agüimes,27.91,-15.45,62.33,57.27,82,1025,12.75,75
Bhaderwah,32.98,75.72,50.9,46.0,68,1021,4.99,100
Saldanha,-33.01,17.94,62.6,57.7,76,1015,11.41,75
Lakshettipet,18.87,79.22,85.14,84.04,32,1016,3.06,0
Alofi,-19.06,-169.92,78.8,85.15,94,1013,9.17,75
Torbay,47.67,-52.73,38.07,25.47,93,998,17.22,90
Jamestown,42.1,-79.24,25.99,16.03,85,1011,9.17,90
Okhotsk,59.38,143.3,-6.2,-21.39,85,1002,15.19,97
Hosdurga,13.8,76.29,75.67,73.62,69,1014,12.86,100
Zelenoborskiy,66.84,32.36,31.64,19.45,25,1001,10.42,98
Kiryat Gat,31.61,34.76,63.63,56.39,36,1017,7.67,0
Visnes,59.36,5.22,47.82,36.61,66,1003,14.99,75
Palmas Bellas,9.23,-80.09,77.0,82.36,91,1012,8.01,84
Nioro,13.35,-15.75,68.23,63.59,42,1014,5.86,100
Kuala Lipis,4.18,102.05,88.47,94.5,55,1010,3.04,100
Mar del Plata,-38.0,-57.56,59.09,58.06,87,1017,4.7,0
Iqaluit,63.75,-68.51,17.6,7.29,72,1009,8.05,40
Tuktoyaktuk,69.45,-133.04,3.2,-6.39,84,1004,5.82,90
Bilibino,68.05,166.44,-4.92,-12.8,89,1009,2.33,41
Hamilton,39.18,-84.53,30.13,23.63,75,1019,3.24,0
Margate,51.38,1.39,37.49,32.92,100,1001,3.36,75
Diamantino,-14.41,-56.45,70.47,75.11,85,1012,1.72,100
Ahipara,-35.17,173.17,67.44,66.72,81,1016,8.05,0
Nikolskoye,59.7,30.79,20.52,9.91,73,1033,8.95,0
Lagoa,39.05,-27.98,60.08,51.22,74,1030,16.75,100
Cap Malheureux,-19.98,57.61,84.99,89.17,63,1014,7.0,0
Punta Arenas,-53.15,-70.92,51.8,43.56,87,1004,13.87,100
Hilo,19.73,-155.09,70.61,72.57,78,1018,4.7,90
Pangnirtung,66.15,-65.71,14.0,6.17,84,1008,3.65,100
Kavaratti,10.57,72.64,86.0,90.82,79,1011,13.87,40
Makkah al Mukarramah,21.43,39.83,83.71,78.53,18,1018,3.89,0
Majene,-3.54,118.97,87.94,93.29,61,1006,6.64,100
Talnakh,69.49,88.4,-16.6,-43.65,75,1006,35.79,40
Provideniya,64.38,-173.3,16.09,6.42,86,1006,7.23,0
Cabo San Lucas,22.89,-109.91,61.0,59.9,75,1015,3.62,82
Kunya,12.22,8.53,60.8,56.26,63,1018,7.34,0
Kaitangata,-46.28,169.85,63.0,55.81,63,1000,13.0,49
Upernavik,72.79,-56.15,19.36,7.65,96,1008,11.68,100
Rabo de Peixe,37.8,-25.58,57.2,56.1,71,1030,1.12,75
Kelso,46.15,-122.91,42.94,34.48,70,1026,9.17,1
Te Anau,-45.42,167.72,55.35,49.55,67,1005,8.05,2
Oblivskaya,48.54,42.5,18.7,6.01,88,1037,13.0,0
Pevek,69.7,170.31,12.6,1.02,91,1006,10.33,100
Zyryanka,65.75,150.85,-21.35,-32.22,86,1008,6.98,100
Río Gallegos,-51.62,-69.22,55.4,49.15,76,1002,10.29,40
Jiaojiang,28.68,121.44,57.0,56.1,73,1023,1.01,100
Aklavik,68.22,-135.01,1.4,-6.25,84,1004,2.24,100
Bengkulu,-3.8,102.27,84.92,89.28,67,1009,8.34,8
Petropavlovsk-Kamchatskiy,53.05,158.65,12.2,3.61,72,1002,4.47,6
Mitsamiouli,-11.38,43.28,83.14,87.98,65,1015,5.06,0
Saskylakh,71.92,114.08,-16.76,-25.01,87,1010,2.46,100
Young,-32.68,-57.63,56.68,54.05,95,1017,7.58,0
Hobart,-42.88,147.33,60.55,46.45,51,1008,21.92,75
Srednekolymsk,67.45,153.68,-26.84,-39.51,84,1008,10.04,60
Banepā,27.63,85.52,64.4,63.16,59,1022,2.24,20
Saint Paul Harbor,57.79,-152.41,35.6,25.7,74,983,10.29,90
Harper,4.38,-7.72,78.4,84.52,83,1013,5.3,1
Broken Hill,-31.95,141.43,71.6,61.9,21,1018,10.29,0
East London,-33.02,27.91,77.0,77.07,73,1011,11.41,0
Khatanga,71.97,102.5,-10.75,-21.59,90,1013,7.29,100
Ostrovnoy,68.05,39.51,32.77,26.19,95,1022,5.23,100
Tchibanga,-2.85,11.03,74.62,82.92,94,1014,1.43,100
Port Hardy,50.7,-127.42,48.2,44.69,93,1011,4.7,90
Bredasdorp,-34.53,20.04,66.2,67.19,88,1013,5.82,0
Coahuayana Viejo,18.73,-103.68,73.02,77.31,79,1015,2.66,95
Thompson,55.74,-97.86,32.0,21.96,99,998,11.41,90
Kunyang,27.67,120.57,58.6,52.5,59,1023,8.5,81
Hofn,64.25,-15.21,31.15,24.48,91,1015,4.74,1
Pisco,-13.7,-76.22,65.23,64.44,82,1015,6.93,0
Chokurdakh,70.63,147.92,-8.23,-18.94,92,1003,7.23,100
Port Alfred,-33.59,26.89,79.97,83.79,60,1011,2.48,100
Terra Santa,-2.1,-56.49,73.65,81.84,96,1010,1.28,100
